ID,YearStart,YearEnd,Description,LocationAbbr,LocationDesc,DataSource,Class,Topic,Question,Response,Data_Value_Unit,DataValueTypeId,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,GeoLocation_Lat,GeoLocation_Long,ClassId,TopicId,QuestionId,ResponseId,StratficationCategory1,StratificationCategoryId1,Stratification1,StratificationId1,StratificationCategory2,StratificationCategoryId2,Stratification2,StratificationId2,StratificationCategory3,StratificationCategoryId3,Stratification3,StratificationId3,LocationDisplayOrder,FootnoteSymbol,FootnoteText,URL,FootnoteHeading
54681,2017,2017,2017,US,National,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week †,,,VALUE,Value,20.3,,,20.1,20.6,"389,612",,,PA,PA1,Q044,,Total,OVR,Total,OVERALL,,,,,,,,,0,,,,
52627,2017,2017,2017,AL,Alabama,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week †,,,VALUE,Value,16.1,,,14.8,17.5,"5,866",32.84057112,-86.63186076,PA,PA1,Q044,,Total,OVR,Total,OVERALL,,,,,,,,,1,,,,
48466,2017,2017,2017,AK,Alaska,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week †,,,VALUE,Value,24.2,,,21.5,27.2,"2,817",64.84507996,-147.722059,PA,PA1,Q044,,Total,OVR,Total,OVERALL,,,,,,,,,2,,,,
46134,2017,2017,2017,AZ,Arizona,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week †,,,VALUE,Value,22.1,,,21.2,23.1,"13,288",34.86597028,-111.7638113,PA,PA1,Q044,,Total,OVR,Total,OVERALL,,,,,,,,,4,,,,
46896,2017,2017,2017,AR,Arkansas,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week †,,,VALUE,Value,16.5,,,14.6,18.7,"4,610",34.74865012,-92.27449074,PA,PA1,Q044,,Total,OVR,Total,OVERALL,,,,,,,,,5,,,,
53274,2017,2017,2017,CA,California,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week †,,,VALUE,Value,23.9,,,22.6,25.3,"7,879",37.63864012,-120.9999995,PA,PA1,Q044,,Total,OVR,Total,OVERALL,,,,,,,,,6,,,,
49571,2017,2017,2017,CO,Colorado,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week †,,,VALUE,Value,26,,,24.8,27.1,"8,285",38.84384076,-106.1336109,PA,PA1,Q044,,Total,OVR,Total,OVERALL,,,,,,,,,8,,,,
46174,2017,2017,2017,CT,Connecticut,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week †,,,VALUE,Value,22.8,,,21.6,24,"9,133",41.56266102,-72.64984095,PA,PA1,Q044,,Total,OVR,Total,OVERALL,,,,,,,,,9,,,,
46102,2017,2017,2017,DE,Delaware,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week †,,,VALUE,Value,19,,,17.2,20.8,"3,564",39.00883067,-75.57774117,PA,PA1,Q044,,Total,OVR,Total,OVERALL,,,,,,,,,10,,,,
53441,2017,2017,2017,DC,District of Columbia,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week †,,,VALUE,Value,21.1,,,19.4,22.9,"3,978",38.89037139,-77.03196113,PA,PA1,Q044,,Total,OVR,Total,OVERALL,,,,,,,,,11,,,,
